0,lebih diperbaiki lagi ya,1,0
1,semoga lebih bisa diperbaiki lagi yang masih kurang,1,0
2,lebih diperbaiki lagi,1,1
3,lebih di perbaiki,1,0
4,pas esap kayak ngantri sembako,0,0
5,jadilah lebih baik,1,0
6,"sudah baik, alangkah baiknya lebih di informasikan lagi tentang fungsi apa saja yg dapat kita gunakan di layanan pusat bahasa itu",1,1
7,"untuk yang ESAP, kemahalan, ngapain harus jadi member setaun kalo cuma bisa daftar sekali doang, orang matkul nya aja cuma satu kali per semester. klo yang setaun ada b.inggris 2x enak g usah bayar lagi, ini kalo semester 1 ada semester 2 ga ada semestr 3 ada kan jadi harus daftar member lagi..",0,1
8,lbh baik lg kedepan,1,0
9,kurang tahu karena belum kesana,1,0
10,Semoga biaya di pusat bahasa lebih terjangkau,1,0
11,Lebih update lagi dalam pemberitaan,0,0
12,be better,1,0
13,akan lebih baik lagi apabila informasi mengenai layanan pusat bahasa lebih mudah didapatkan,1,0
14,Sebaiknya biaya kursus bahasa asing lebih ringan agar peminatnya dapat meningkat.,0,0
15,lebih baik lagi,0,0
16,wqw bohong semua,0,1
17,fasilitasnya mohon lebih diperhatikan lg,0,0
18,"ditingkatkan lagi, ruang pendaftaran masih kurang memadai",1,0
19,Diharuskan mengambil kursus Bahasa Inggris untuk mendapatkan point tanpa memandang kecerdasan sesungguhnya ? sebaiknya jangan,1,0
20,"sangat nyaman tempatnya, mungkin tahun depan dapat menambahkan ruang discussion room agar tidak antri atau menunggu giliran terlalu lama",1,1
21,tingkatkan lagi agar menjadi lebih baik,1,0
22,-,0,0
23,karetnya,1,0
24,semoga kedepannya bisa lebih baik lagi,1,1
25,Sebaiknya admin  seperti teller bank yang ramah meski sedang banyak orang,1,0
26,sudah lumayan bagus lah,0,0
27,tekankan harga LaC Membership dan paket LaC.,1,0
28,kurang puas karena dari berbagai fakultas dipusatkan di satu tempat sehingga terjadi pengantrian,1,1
29,Diusahakan dalam pembelajaran intensif untuk perbaikan EPRT & ECCT ditingkatkan lagi. Karnea sistemnya terkadang kurang membangun,0,0
30,-,1,0
31,sudah bagus tapi tingkatkan lagi mutu pelayanannya,0,0
32,"semoga lebih baik lagi ,dan menjadi yang terbaik dari universitas lainnya",1,0
33,Lebih disosialisasikan kembali kegiatan ESSAP dll,1,1
34,-,1,0
35,Kurang profesionalisme dan kurang fasilitas yang memadahi serta mentor mentor yang memadahi juga,0,0
36,suka tidak nyaman jika di admin esp suka antri dalam melakukan suatu transaksi.,1,1
37,sudah cukup baik,0,0
38,"dalam kemudahan mengakses informasi sangat perlu ditingkatkan, karna banyak mahasiswa yang minim informasi tentang layanan dan agar layanan bisa diakses dimanapun dan kapanpun",1,0
39,-,1,0
40,-,1,0
41,Untuk layanan pusat bahasa perbaikan fasilitas Lab. bahasa,0,1
42,sudah baik,0,0
43,Tolong lebih dipermudah dan terbuka,1,0
44,perbaiki lagi layanannya,1,0
45,"saran, jika ada jadwal tes mohon mahasiswa di SMS juga agar tidak ada mahasiswa yang ketinggalan informasi",1,0
46,-,0,1
47,pada layanan pusat bahasa beberapa orang ada yang tidak baik dalam melayani kami,0,0
48,diperbaharui alat alat pembanyu nya,1,0
49,-,0,0
50,-,0,1
51,Semoga bisa lebih baik,1,0
52,tingkatkan lagi pelayanan ke mahasiswanya.,1,1
53,-,1,1
54,Mengapa kegiatan dari Pusat Bahasa harus memakan biaya ekstra? Seharusnya digratiskan.,1,0
55,.,0,0
56,lebih memanfaatkan adanya himpunan untuk turun ke mahasiswa,0,1
57,Saran : tingkatkan fasilitas,0,0
58,lebih baik lagi,1,1
59,"sebaiknya diadakan les speaking, pasti diantara beberapa puluh ribumahasiswa/i menginginkan hal tersebut",0,0
60,"Gedung dan informasinya di tingkatkan lagi , karna informasi yg di terima mahasiswa dengan yg di berikan kadang suka sedikit berbeda dan banyak yg simpang siur",1,1
61,-,1,1
62,ruangannya kurang besar,1,1
63,-,1,1
64,untuk konfirmasi kegiatan eprt terlalu sebentar sehingga kadang sulit untuk melakukan konfirmasi,1,1
65,Enggak,1,1
66,Belum pernah,1,1
67,lebih di tiingkatkan lagi dalam layanan bidang pusat bahasa,1,1
68,lebih diperhatikan lagi,1,1
69,memperbanyak buku yg terkait dengan matkul2 dkv,1,1
70,Tingkatkan,0,0
71,baik,1,1
72,harap di tingkatkan,1,1
73,aman,0,0
74,Bagus,1,1
75,syudah bagus,0,0
76,cukup bagus,1,1
77,Semoga pihak layanan pusat bahasa dapat mempertahankan kinerjanya yang bernilai positif dan meningkatkan kinerjanya di masa depan. Terima kasih.,1,1
78,baik,1,1
79,sudah cukup bagus,1,1
80,pusat bahasa baik,1,1
81,Sudah baik,0,0
82,untuk layanan pusat bahasa sudah sangat memuaskan  dan hanya perlu di pertahankan,1,1
83,lebih di tingkatkan lagi untuk mengenalkan tentang pusat bahasa.,1,1
84,sudah baik,1,1
85,"Pelayannan Pusat Bahasa sudah sangat baik, pembelajarannya pun terlihat menyenangkan",1,1
86,Tingkatkan,1,1
87,bagus kedepan smg lebih bagus,0,1
88,Tingkatkan,1,1
89,sudah baik,0,0
90,Sudah cukup baik,1,1
91,sangat mencerminkan budaya bahasa yang daramatis,1,1
92,sudah cukup,1,1
93,sudah bagus dalam bidang layanan pusat bahasa,1,1
94,lebih di tingkatkan lagi,0,0
95,cukup baik,1,1
96,sudah cukup baik,1,1
97,lanjutkan,1,1
98,saya sudah merasa nyaman dengan pengimplementasia layanan yang di berikan pusat bahasa terhadap saya,1,1
99,sudah baik,1,1
100,lebih ditingkatkan lagi fasilitas untuk menunjang,0,0
101,baik,1,1
102,tingkatkan,0,0
103,cukup memuaskan,1,1
104,menurut saya sudah cukup baik,1,1
105,Sudah cukup jelas dan baik,1,1
106,Baik,1,1
107,Tingkat kan lagi,1,1
108,sudah cukup baik,0,0
109,cukupbaik,0,0
110,baik,0,0
111,bagus,1,1
112,sudah baik,0,0
113,tingkatkan lagi,1,1
114,Baik,1,1
115,ditingkatkan lagi,1,1
116,Sudah cukup bagus,1,0
117,Maju terus!!!,1,1
118,cukup baik,1,1
119,layanan di bidang pusaht bahasa cukup baik,1,1
120,canggih,0,0
121,tingkatkan lagi,1,1
122,tingkatkan lagi,1,1
123,tingkatkan,0,0
124,cukup.,1,1
125,lebih ditingkatkan lagi dalam sosialisai dan koordinasi,0,0
126,cukup puas,1,1
127,Sudah bagus,1,1
128,layanan pusat bahasa sudah baik,1,1
